dateObserved,intensity,laneId,location,id,type,vehicleType,reversedLane,name
2020-03-28,227,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003280000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-29,184,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003290000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-30,217,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003300000,TrafficFlowObserved,bicycle,False,Berracasa
2020-03-31,221,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202003310000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-01,228,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004010000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-02,274,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004020000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-03,322,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004030000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-04,268,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004040000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-05,254,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004050000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-06,286,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004060000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-07,322,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004070000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-08,362,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004080000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-09,351,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004090000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-10,327,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004100000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-11,236,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004110000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-12,209,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004120000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-13,149,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004130000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-14,342,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004140000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-15,291,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004150000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-16,304,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004160000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-17,333,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004170000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-18,294,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004180000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-19,126,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004190000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-20,84,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004200000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-21,84,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004210000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-22,173,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004220000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-23,397,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004230000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-24,363,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004240000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-25,363,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004250000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-26,380,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004260000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-27,292,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004270000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-28,323,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004280000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-29,443,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004290000,TrafficFlowObserved,bicycle,False,Berracasa
2020-04-30,384,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202004300000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-01,338,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005010000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-02,459,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005020000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-03,511,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005030000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-04,524,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005040000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-05,509,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005050000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-06,639,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005060000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-07,610,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005070000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-08,562,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005080000,TrafficFlowObserved,bicycle,False,Berracasa
2020-05-09,403,121403593,"{'coordinates': [3.896939992904663, 43.60969924926758], 'type': 'Point'}",MMM_EcoCompt_X2H19070220_202005090000,TrafficFlowObserved,bicycle,False,Berracasa
